url,title
http://www.mingchaonaxieshier.com/di-guo-piao-yao-10.html,第5部：帝国飘摇 第十章 敌人
http://www.mingchaonaxieshier.com/di-guo-piao-yao-09.html,第5部：帝国飘摇 第九章 张居正的缺陷
http://www.mingchaonaxieshier.com/di-guo-piao-yao-07.html,第5部：帝国飘摇 第七章 死斗
http://www.mingchaonaxieshier.com/di-guo-piao-yao-06.html,第5部：帝国飘摇 第六章 高拱的成就
http://www.mingchaonaxieshier.com/di-guo-piao-yao-05.html,第5部：帝国飘摇 第五章 最终的乱战
http://www.mingchaonaxieshier.com/di-guo-piao-yao-04.html,第5部：帝国飘摇 第四章 成熟
http://www.mingchaonaxieshier.com/di-guo-piao-yao-03.html,第5部：帝国飘摇 第三章 天下的对弈
http://www.mingchaonaxieshier.com/di-guo-piao-yao-02.html,第5部：帝国飘摇 第二章 奇怪的人
http://www.mingchaonaxieshier.com/di-guo-piao-yao-01.html,第5部：帝国飘摇 第一章 致命的正义
http://www.mingchaonaxieshier.com/fen-shi-tai-ping-22.html,第4部：粉饰太平 第二十二章 胜利
http://www.mingchaonaxieshier.com/fen-shi-tai-ping-21.html,第4部：粉饰太平 第二十一章 曙光
http://static.tieba.baidu.com/tb/error.html?tc=01645851900642376458062714,
http://www.mingchaonaxieshier.com/fen-shi-tai-ping-20.html,第4部：粉饰太平 第二十章 英雄的结局
http://www.mingchaonaxieshier.com/fen-shi-tai-ping-19.html,第4部：粉饰太平 第十九章 侵略者的末日
http://www.mingchaonaxieshier.com/fen-shi-tai-ping-18.html,第4部：粉饰太平 第十八章 制胜之道
http://static.tieba.baidu.com/tb/error.html?tc=01801381270976641034062714,
http://www.mingchaonaxieshier.com/fen-shi-tai-ping-17.html,第4部：粉饰太平 第十七章 名将的起点
http://www.mingchaonaxieshier.com/fen-shi-tai-ping-16.html,第4部：粉饰太平 第十六章 战争——最后的抉择
http://www.mingchaonaxieshier.com/fen-shi-tai-ping-15.html,第4部：粉饰太平 第十五章 天才的谋略
